timestamps,Motion_State
2023-08-08 05:36:01.903977+00:00,2
2023-08-08 05:36:01.909978600+00:00,2
2023-08-08 05:36:01.915980500+00:00,2
2023-08-08 05:36:01.922105300+00:00,2
2023-08-08 05:36:01.927977700+00:00,2
2023-08-08 05:36:01.934101500+00:00,2
2023-08-08 05:36:01.939979+00:00,2
2023-08-08 05:36:01.946164+00:00,2
2023-08-08 05:36:01.951980400+00:00,2
2023-08-08 05:36:01.957982800+00:00,2
2023-08-08 05:36:01.963979400+00:00,2
2023-08-08 05:36:01.970058900+00:00,2
2023-08-08 05:36:01.975978400+00:00,2
2023-08-08 05:36:01.981979900+00:00,2
2023-08-08 05:36:01.987981400+00:00,2
2023-08-08 05:36:01.993981400+00:00,2
2023-08-08 05:36:01.999984900+00:00,2
2023-08-08 05:36:02.005982900+00:00,2
2023-08-08 05:36:02.011984900+00:00,2
2023-08-08 05:36:02.017982500+00:00,2
2023-08-08 05:36:02.023983+00:00,2
2023-08-08 05:36:02.029982500+00:00,2
2023-08-08 05:36:02.035983100+00:00,2
2023-08-08 05:36:02.042109100+00:00,2
2023-08-08 05:36:02.047985500+00:00,2
2023-08-08 05:36:02.054108300+00:00,2
2023-08-08 05:36:02.059984800+00:00,2
2023-08-08 05:36:02.066111400+00:00,2
2023-08-08 05:36:02.071985900+00:00,2
2023-08-08 05:36:02.077985400+00:00,2
2023-08-08 05:36:02.083988+00:00,2
2023-08-08 05:36:02.089988900+00:00,2
2023-08-08 05:36:02.095513800+00:00,2
2023-08-08 05:36:02.101986900+00:00,2
2023-08-08 05:36:02.107985+00:00,2
2023-08-08 05:36:02.113987100+00:00,2
2023-08-08 05:36:02.119988700+00:00,2
2023-08-08 05:36:02.125989200+00:00,2
2023-08-08 05:36:02.131990700+00:00,2
2023-08-08 05:36:02.138065800+00:00,2
2023-08-08 05:36:02.144042200+00:00,2
2023-08-08 05:36:02.149990700+00:00,2
2023-08-08 05:36:02.155993200+00:00,2
2023-08-08 05:36:02.161519+00:00,2
2023-08-08 05:36:02.167990200+00:00,2
2023-08-08 05:36:02.174117900+00:00,2
2023-08-08 05:36:02.179991300+00:00,2
2023-08-08 05:36:02.186113600+00:00,2
2023-08-08 05:36:02.191994100+00:00,2
2023-08-08 05:36:02.197994500+00:00,2
2023-08-08 05:36:02.203993+00:00,2
2023-08-08 05:36:02.210072700+00:00,2
2023-08-08 05:36:02.215991500+00:00,2
2023-08-08 05:36:02.221990+00:00,2
2023-08-08 05:36:02.227993500+00:00,2
2023-08-08 05:36:02.233990700+00:00,2
2023-08-08 05:36:02.239995200+00:00,2
2023-08-08 05:36:02.246056300+00:00,2
2023-08-08 05:36:02.251997800+00:00,2
2023-08-08 05:36:02.258072300+00:00,2
2023-08-08 05:36:02.263999800+00:00,2
2023-08-08 05:36:02.269995200+00:00,2
2023-08-08 05:36:02.275996800+00:00,2
2023-08-08 05:36:02.282121100+00:00,2
2023-08-08 05:36:02.288001500+00:00,2
2023-08-08 05:36:02.294121200+00:00,2
2023-08-08 05:36:02.299997700+00:00,2
2023-08-08 05:36:02.306118900+00:00,2
2023-08-08 05:36:02.311998900+00:00,2
